plate_id,sample,sample_type,target,target_type,dye,reaction,wells,corr_cq
QQP000041,41724,std,E gene,toi,FAM,singleplex,G7,34.45880312158858
QQP000041,139052,std,E gene,toi,FAM,singleplex,G21,10.25703363490358
QQP000041,13920,std,E gene,toi,FAM,singleplex,O3,31.06356064527458
QQP000042,111250,std,E gene,toi,FAM,singleplex,C18,30.46158226495158
QQP000042,139059,std,E gene,toi,FAM,singleplex,E22,35.26453546909358
QQP000042,111255,std,E gene,toi,FAM,singleplex,M18,26.45883172995958
QQP000044,13961,std,E gene,toi,FAM,singleplex,A3,18.554302417173083
QQP000054,111451,std,E gene,toi,FAM,singleplex,E17,18.93600881914158
QQP000054,55836,std,E gene,toi,FAM,singleplex,G9,31.60212634854758
QQP000054,111454,std,E gene,toi,FAM,singleplex,K17,29.03605566232358
QQP000054,14128,std,E gene,toi,FAM,singleplex,O3,13.11522314152058
QQP000054,111456,std,E gene,toi,FAM,singleplex,O17,12.095531349041579
QQP000061,83753,std,E gene,toi,FAM,singleplex,A13,15.485681698153584
QQP000061,69854,std,E gene,toi,FAM,singleplex,K11,14.504927051929583
QQP000061,83758,std,E gene,toi,FAM,singleplex,K13,30.617810838312582
QQP000061,69855,std,E gene,toi,FAM,singleplex,M11,16.443838922869585
QQP000061,69856,std,E gene,toi,FAM,singleplex,O11,16.337040398589583
QQP000062,97665,std,E gene,toi,FAM,singleplex,A16,24.226176355299078
QQP000062,125473,std,E gene,toi,FAM,singleplex,A20,18.618416003085077
QQP000062,111571,std,E gene,toi,FAM,singleplex,E18,29.98249004093508
QQP000062,111572,std,E gene,toi,FAM,singleplex,G18,30.478563888460076
QQP000062,111576,std,E gene,toi,FAM,singleplex,O18,22.38771404884708
QQP000063,153300,std,E gene,toi,FAM,singleplex,G24,32.71190873890908
QQP000063,153306,std,E gene,toi,FAM,singleplex,C23,21.25710671909308
QQP000063,139403,std,E gene,toi,FAM,singleplex,E21,28.592775820467082
QQP000063,153307,std,E gene,toi,FAM,singleplex,E23,27.86056265943808
QQP000063,139405,std,E gene,toi,FAM,singleplex,I21,32.956742371641084
